;UKX Index;;HSBA LN Equity;;BP/ LN Equity;;BATS LN Equity;;GSK LN Equity;;AZN LN Equity;;DGE LN Equity;;VOD LN Equity;;RIO LN Equity;;ULVR LN Equity;;PRU LN Equity;;LLOY LN Equity;;1986986D LN Equity;;RKT LN Equity;;SHP LN Equity;;BARC LN Equity;;NG/ LN Equity;;IMB LN Equity;;CPG LN Equity;;TSCO LN Equity;;BA/ LN Equity;;AV/ LN Equity;;STAN LN Equity;;AAL LN Equity;;REL LN Equity;;BT/A LN Equity;;LGEN LN Equity;;WPP LN Equity;;2462936D LN Equity;;SSE LN Equity;;SKY LN Equity;;RR/ LN Equity;;SN/ LN Equity;;OML LN Equity;;IAG LN Equity;;ABF LN Equity;;III LN Equity;;NWG LN Equity;;CCL LN Equity;;CNA LN Equity;;NXT LN Equity;;SGE LN Equity;;SMIN LN Equity;;PSON LN Equity;;RSA LN Equity;;BLND LN Equity;;LAND LN Equity;;KGF LN Equity;;RTO LN Equity;;UU/ LN Equity;;MRW LN Equity;;SBRY LN Equity;;SVT LN Equity;;MKS LN Equity;;SDR LN Equity
17/06/2014;6766,80;16/06/2014;612,00;16/06/2014;505,60;16/06/2014;3514,50;16/06/2014;1613,99;16/06/2014;4358,00;16/06/2014;1884,00;16/06/2014;194,10;16/06/2014;3025,00;16/06/2014;2657,00;16/06/2014;1150,77;16/06/2014;76,66;16/06/2014;1739,38;16/06/2014;5072,71;16/06/2014;3536,00;16/06/2014;236,50;16/06/2014;849,79;16/06/2014;2625,00;16/06/2014;1101,13;16/06/2014;365,88;16/06/2014;418,40;16/06/2014;673,68;16/06/2014;1244,95;16/06/2014;1415,39;16/06/2014;951,00;16/06/2014;384,90;16/06/2014;224,70;16/06/2014;1296,00;16/06/2014;3408,39;16/06/2014;1564,00;16/06/2014;862,50;16/06/2014;344,88;16/06/2014;1070,00;16/06/2014;156,14;17/06/2014;252,66;16/06/2014;2997,00;16/06/2014;418,70;16/06/2014;365,72;16/06/2014;2307,00;16/06/2014;323,30;16/06/2014;6320,00;16/06/2014;390,60;16/06/2014;1269,00;16/06/2014;1099,00;16/06/2014;483,90;16/06/2014;688,00;16/06/2014;1098,67;16/06/2014;369,90;16/06/2014;114,10;16/06/2014;888,50;16/06/2014;188,30;16/06/2014;317,70;16/06/2014;1972,00;16/06/2014;418,82;16/06/2014;436,39
18/06/2014;6778,60;17/06/2014;612,10;17/06/2014;506,10;17/06/2014;3544,50;17/06/2014;1604,89;17/06/2014;4366,00;17/06/2014;1888,50;17/06/2014;195,25;17/06/2014;3049,00;17/06/2014;2673,00;17/06/2014;1154,19;17/06/2014;77,99;17/06/2014;1727,72;17/06/2014;5106,92;17/06/2014;3660,00;17/06/2014;236,50;17/06/2014;849,29;17/06/2014;2639,00;17/06/2014;1109,42;17/06/2014;367,40;17/06/2014;417,50;17/06/2014;673,03;17/06/2014;1238,77;17/06/2014;1415,39;17/06/2014;953,50;17/06/2014;382,70;17/06/2014;225,60;17/06/2014;1288,00;17/06/2014;3391,50;17/06/2014;1561,00;17/06/2014;864,00;17/06/2014;346,94;17/06/2014;1071,00;17/06/2014;157,83;18/06/2014;249,88;17/06/2014;2990,00;17/06/2014;411,70;17/06/2014;368,20;17/06/2014;2292,00;17/06/2014;323,10;17/06/2014;6315,00;17/06/2014;391,40;17/06/2014;1285,00;17/06/2014;1108,00;17/06/2014;492,00;17/06/2014;684,00;17/06/2014;1088,00;17/06/2014;361,80;17/06/2014;113,90;17/06/2014;886,00;17/06/2014;192,60;17/06/2014;321,90;17/06/2014;1969,00;17/06/2014;416,33;17/06/2014;434,86
19/06/2014;6808,10;18/06/2014;610,10;18/06/2014;514,40;18/06/2014;3542,00;18/06/2014;1597,30;18/06/2014;4395,50;18/06/2014;1858,00;18/06/2014;198,10;18/06/2014;3079,50;18/06/2014;2668,00;18/06/2014;1158,46;18/06/2014;77,66;18/06/2014;1748,24;18/06/2014;5058,05;18/06/2014;3785,00;18/06/2014;235,50;18/06/2014;852,83;18/06/2014;2656,00;18/06/2014;1109,42;18/06/2014;369,99;18/06/2014;417,50;18/06/2014;671,71;18/06/2014;1221,16;18/06/2014;1430,82;18/06/2014;951,00;18/06/2014;385,00;18/06/2014;224,80;18/06/2014;1262,00;18/06/2014;3377,78;18/06/2014;1562,00;18/06/2014;865,50;18/06/2014;346,60;18/06/2014;1053,00;18/06/2014;158,56;19/06/2014;249,02;18/06/2014;3050,00;18/06/2014;394,20;18/06/2014;364,11;18/06/2014;2273,00;18/06/2014;320,30;18/06/2014;6300,00;18/06/2014;389,20;18/06/2014;1289,00;18/06/2014;1107,00;18/06/2014;493,10;18/06/2014;679,00;18/06/2014;1078,40;18/06/2014;363,70;18/06/2014;114,60;18/06/2014;861,50;18/06/2014;190,90;18/06/2014;317,10;18/06/2014;1928,00;18/06/2014;419,39;18/06/2014;430,27
20/06/2014;6825,20;19/06/2014;610,30;19/06/2014;515,70;19/06/2014;3585,00;19/06/2014;1608,43;19/06/2014;4444,00;19/06/2014;1853,00;19/06/2014;194,85;19/06/2014;3080,00;19/06/2014;2681,00;19/06/2014;1149,92;19/06/2014;77,40;19/06/2014;1765,49;19/06/2014;5111,81;19/06/2014;3738,00;19/06/2014;236,20;19/06/2014;854,85;19/06/2014;2667,00;19/06/2014;1119,37;19/06/2014;368,47;19/06/2014;424,20;19/06/2014;677,63;19/06/2014;1208,31;19/06/2014;1444,75;19/06/2014;951,50;19/06/2014;392,50;19/06/2014;226,00;19/06/2014;1268,00;19/06/2014;3420,00;19/06/2014;1575,00;19/06/2014;871,50;19/06/2014;374,74;19/06/2014;1065,00;19/06/2014;158,88;20/06/2014;254,98;19/06/2014;3071,00;19/06/2014;399,10;19/06/2014;364,54;19/06/2014;2269,00;19/06/2014;321,40;19/06/2014;6365,00;19/06/2014;391,20;19/06/2014;1289,00;19/06/2014;1123,00;19/06/2014;497,80;19/06/2014;687,50;19/06/2014;1096,53;19/06/2014;368,50;19/06/2014;114,00;19/06/2014;870,50;19/06/2014;190,50;19/06/2014;321,30;19/06/2014;1949,00;19/06/2014;420,35;19/06/2014;433,50
23/06/2014;6800,60;20/06/2014;609,40;20/06/2014;518,60;20/06/2014;3596,00;20/06/2014;1609,94;20/06/2014;4470,00;20/06/2014;1854,00;20/06/2014;191,85;20/06/2014;3077,50;20/06/2014;2687,00;20/06/2014;1149,49;20/06/2014;76,70;20/06/2014;1773,42;20/06/2014;5150,90;20/06/2014;4371,00;20/06/2014;234,60;20/06/2014;853,84;20/06/2014;2705,00;20/06/2014;1112,74;20/06/2014;367,78;20/06/2014;428,00;20/06/2014;672,37;20/06/2014;1204,02;20/06/2014;1449,73;20/06/2014;956,50;20/06/2014;387,80;20/06/2014;226,50;20/06/2014;1280,00;20/06/2014;3409,45;20/06/2014;1579,00;20/06/2014;891,50;20/06/2014;372,34;20/06/2014;1079,00;20/06/2014;157,83;23/06/2014;251,87;20/06/2014;3086,00;20/06/2014;403,90;20/06/2014;363,14;20/06/2014;2299,00;20/06/2014;319,80;20/06/2014;6355,00;20/06/2014;391,20;20/06/2014;1292,00;20/06/2014;1119,00;20/06/2014;491,60;20/06/2014;686,50;20/06/2014;1088,00;20/06/2014;366,80;20/06/2014;115,00;20/06/2014;875,00;20/06/2014;188,70;20/06/2014;316,80;20/06/2014;1936,00;20/06/2014;414,80;20/06/2014;435,20
24/06/2014;6787,10;23/06/2014;606,40;23/06/2014;520,00;23/06/2014;3544,50;23/06/2014;1589,71;23/06/2014;4373,50;23/06/2014;1838,50;23/06/2014;191,50;23/06/2014;3127,00;23/06/2014;2684,00;23/06/2014;1143,51;23/06/2014;75,45;23/06/2014;1807,46;23/06/2014;5092,26;23/06/2014;4303,00;23/06/2014;234,30;23/06/2014;854,85;23/06/2014;2685,00;23/06/2014;1105,00;23/06/2014;369,87;23/06/2014;423,60;23/06/2014;671,05;23/06/2014;1215,45;23/06/2014;1463,66;23/06/2014;952,50;23/06/2014;384,90;23/06/2014;226,60;23/06/2014;1257,00;23/06/2014;3359,84;23/06/2014;1583,00;23/06/2014;890,50;23/06/2014;361,36;23/06/2014;1059,00;23/06/2014;157,35;24/06/2014;256,44;23/06/2014;3065,00;23/06/2014;402,20;23/06/2014;355,39;23/06/2014;2313,00;23/06/2014;319,00;23/06/2014;6330,00;23/06/2014;387,10;23/06/2014;1288,00;23/06/2014;1119,00;23/06/2014;496,20;23/06/2014;676,00;23/06/2014;1080,53;23/06/2014;365,20;23/06/2014;115,00;23/06/2014;883,50;23/06/2014;186,60;23/06/2014;315,30;23/06/2014;1943,00;23/06/2014;413,75;23/06/2014;432,48
25/06/2014;6733,60;24/06/2014;605,40;24/06/2014;523,90;24/06/2014;3560,00;24/06/2014;1594,77;24/06/2014;4353,00;24/06/2014;1842,00;24/06/2014;190,65;24/06/2014;3096,00;24/06/2014;2699,00;24/06/2014;1136,24;24/06/2014;75,00;24/06/2014;1792,07;24/06/2014;5087,37;24/06/2014;4404,00;24/06/2014;233,70;24/06/2014;853,84;24/06/2014;2649,00;24/06/2014;1105,00;24/06/2014;366,51;24/06/2014;425,80;24/06/2014;663,82;24/06/2014;1205,93;24/06/2014;1450,23;24/06/2014;945,00;24/06/2014;383,50;24/06/2014;226,50;24/06/2014;1248,00;24/06/2014;3331,34;24/06/2014;1581,00;24/06/2014;897,50;24/06/2014;354,15;24/06/2014;1045,00;24/06/2014;157,35;25/06/2014;253,33;24/06/2014;3054,00;24/06/2014;397,00;24/06/2014;352,80;24/06/2014;2276,00;24/06/2014;318,40;24/06/2014;6395,00;24/06/2014;383,60;24/06/2014;1277,00;24/06/2014;1134,00;24/06/2014;482,20;24/06/2014;687,00;24/06/2014;1096,53;24/06/2014;364,70;24/06/2014;112,00;24/06/2014;875,50;24/06/2014;186,80;24/06/2014;315,90;24/06/2014;1919,00;24/06/2014;414,90;24/06/2014;425,68
26/06/2014;6735,10;25/06/2014;601,60;25/06/2014;516,90;25/06/2014;3522,00;25/06/2014;1579,60;25/06/2014;4362,00;25/06/2014;1840,50;25/06/2014;189,80;25/06/2014;3097,50;25/06/2014;2659,00;25/06/2014;1126,84;25/06/2014;74,53;25/06/2014;1772,02;25/06/2014;5009,18;25/06/2014;4517,00;25/06/2014;230,00;25/06/2014;849,79;25/06/2014;2632,00;25/06/2014;1106,11;25/06/2014;361,32;25/06/2014;422,90;25/06/2014;662,50;25/06/2014;1196,89;25/06/2014;1420,86;25/06/2014;935,50;25/06/2014;381,20;25/06/2014;224,20;25/06/2014;1238,00;25/06/2014;3328,17;25/06/2014;1564,00;25/06/2014;890,00;25/06/2014;358,61;25/06/2014;1031,00;25/06/2014;156,46;26/06/2014;254,72;25/06/2014;3015,00;25/06/2014;393,80;25/06/2014;347,85;25/06/2014;2227,00;25/06/2014;313,90;25/06/2014;6400,00;25/06/2014;379,00;25/06/2014;1265,00;25/06/2014;1128,00;25/06/2014;480,20;25/06/2014;690,00;25/06/2014;1095,47;25/06/2014;357,00;25/06/2014;111,00;25/06/2014;864,50;25/06/2014;183,50;25/06/2014;312,70;25/06/2014;1890,00;25/06/2014;407,63;25/06/2014;420,58
27/06/2014;6757,80;26/06/2014;594,60;26/06/2014;515,50;26/06/2014;3495,00;26/06/2014;1580,61;26/06/2014;4345,50;26/06/2014;1833,00;26/06/2014;194,25;26/06/2014;3135,50;26/06/2014;2641,00;26/06/2014;1128,98;26/06/2014;75,39;26/06/2014;1772,02;26/06/2014;4916,33;26/06/2014;4537,00;26/06/2014;215,00;26/06/2014;851,82;26/06/2014;2619,00;26/06/2014;1113,84;26/06/2014;361,25;26/06/2014;425,00;26/06/2014;657,63;26/06/2014;1145,01;26/06/2014;1421,36;26/06/2014;942,50;26/06/2014;386,00;26/06/2014;224,80;26/06/2014;1259,00;26/06/2014;3383,06;26/06/2014;1568,00;26/06/2014;889,50;26/06/2014;358,95;26/06/2014;1027,00;26/06/2014;157,43;27/06/2014;254,45;26/06/2014;3038,00;26/06/2014;399,90;26/06/2014;349,68;26/06/2014;2212,00;26/06/2014;313,20;26/06/2014;6465,00;26/06/2014;384,40;26/06/2014;1286,00;26/06/2014;1144,00;26/06/2014;480,40;26/06/2014;699,50;26/06/2014;1110,40;26/06/2014;359,50;26/06/2014;112,70;26/06/2014;875,50;26/06/2014;181,60;26/06/2014;313,50;26/06/2014;1902,00;26/06/2014;407,53;26/06/2014;424,66
30/06/2014;6743,90;27/06/2014;597,00;27/06/2014;514,60;27/06/2014;3476,00;27/06/2014;1591,74;27/06/2014;4370,00;27/06/2014;1847,50;27/06/2014;196,25;27/06/2014;3123,00;27/06/2014;2638,00;27/06/2014;1143,51;27/06/2014;75,35;27/06/2014;1784,61;27/06/2014;4974,97;27/06/2014;4570,00;27/06/2014;216,05;27/06/2014;847,26;27/06/2014;2632,00;27/06/2014;1122,68;27/06/2014;359,42;27/06/2014;431,60;27/06/2014;673,68;27/06/2014;1135,02;27/06/2014;1424,35;27/06/2014;935,50;27/06/2014;389,00;27/06/2014;226,10;27/06/2014;1267,00;27/06/2014;3391,50;27/06/2014;1566,00;27/06/2014;893,00;27/06/2014;366,85;27/06/2014;1035,00;27/06/2014;158,24;30/06/2014;245,64;27/06/2014;3042,00;27/06/2014;405,70;27/06/2014;352,15;27/06/2014;2224,00;27/06/2014;312,80;27/06/2014;6480,00;27/06/2014;384,80;27/06/2014;1295,00;27/06/2014;1135,00;27/06/2014;480,10;27/06/2014;707,50;27/06/2014;1109,33;27/06/2014;360,20;27/06/2014;111,50;27/06/2014;880,50;27/06/2014;183,90;27/06/2014;316,70;27/06/2014;1917,00;27/06/2014;413,08;27/06/2014;426,19
01/07/2014;6802,90;30/06/2014;592,90;30/06/2014;514,90;30/06/2014;3478,00;30/06/2014;1582,13;30/06/2014;4340,50;30/06/2014;1866,00;30/06/2014;195,00;30/06/2014;3108,50;30/06/2014;2651,00;30/06/2014;1146,07;30/06/2014;74,25;30/06/2014;1762,23;30/06/2014;4984,75;30/06/2014;4570,00;30/06/2014;212,80;30/06/2014;850,30;30/06/2014;2630,00;30/06/2014;1123,79;30/06/2014;359,99;30/06/2014;432,90;30/06/2014;671,71;30/06/2014;1136,45;30/06/2014;1423,35;30/06/2014;940,00;30/06/2014;384,90;30/06/2014;225,40;30/06/2014;1274,00;30/06/2014;3380,95;30/06/2014;1567,00;30/06/2014;904,00;30/06/2014;366,85;30/06/2014;1039,00;30/06/2014;159,61;01/07/2014;247,29;30/06/2014;3049,00;30/06/2014;401,90;30/06/2014;353,66;30/06/2014;2208,00;30/06/2014;312,60;30/06/2014;6475,00;30/06/2014;384,10;30/06/2014;1297,00;30/06/2014;1154,00;30/06/2014;474,80;30/06/2014;702,50;30/06/2014;1105,07;30/06/2014;359,00;30/06/2014;111,40;30/06/2014;882,00;30/06/2014;183,40;30/06/2014;315,50;30/06/2014;1932,00;30/06/2014;406,67;30/06/2014;426,02
02/07/2014;6816,40;01/07/2014;598,20;01/07/2014;515,30;01/07/2014;3524,00;01/07/2014;1592,24;01/07/2014;4369,50;01/07/2014;1902,50;01/07/2014;196,05;01/07/2014;3202,50;01/07/2014;2658,00;01/07/2014;1162,73;01/07/2014;75,51;01/07/2014;1813,52;01/07/2014;4994,52;01/07/2014;4510,00;01/07/2014;216,00;01/07/2014;865,99;01/07/2014;2609,00;01/07/2014;1138,15;01/07/2014;359,92;01/07/2014;432,50;01/07/2014;682,90;01/07/2014;1135,50;01/07/2014;1480,09;01/07/2014;942,00;01/07/2014;392,30;01/07/2014;227,00;01/07/2014;1267,00;01/07/2014;3439,00;01/07/2014;1584,00;01/07/2014;909,00;01/07/2014;367,19;01/07/2014;1044,00;01/07/2014;161,55;02/07/2014;241,59;01/07/2014;3032,00;01/07/2014;407,50;01/07/2014;352,15;01/07/2014;2200,00;01/07/2014;314,50;01/07/2014;6545,00;01/07/2014;386,30;01/07/2014;1299,00;01/07/2014;1160,00;01/07/2014;478,30;01/07/2014;706,50;01/07/2014;1123,20;01/07/2014;361,00;01/07/2014;111,80;01/07/2014;893,00;01/07/2014;180,20;01/07/2014;314,10;01/07/2014;1962,00;01/07/2014;408,39;01/07/2014;431,80
03/07/2014;6865,20;02/07/2014;601,30;02/07/2014;519,80;02/07/2014;3531,50;02/07/2014;1586,68;02/07/2014;4418,50;02/07/2014;1897,00;02/07/2014;194,55;02/07/2014;3239,50;02/07/2014;2659,00;02/07/2014;1172,14;02/07/2014;75,70;02/07/2014;1827,05;02/07/2014;4950,54;02/07/2014;4545,00;02/07/2014;217,10;02/07/2014;867,51;02/07/2014;2599,00;02/07/2014;1150,31;02/07/2014;360,94;02/07/2014;424,70;02/07/2014;682,24;02/07/2014;1163,10;02/07/2014;1478,10;02/07/2014;937,50;02/07/2014;390,80;02/07/2014;226,80;02/07/2014;1267,00;02/07/2014;3448,50;02/07/2014;1595,00;02/07/2014;896,00;02/07/2014;359,64;02/07/2014;1039,00;02/07/2014;161,30;03/07/2014;242,12;02/07/2014;3097,00;02/07/2014;405,10;02/07/2014;351,08;02/07/2014;2202,00;02/07/2014;315,50;02/07/2014;6540,00;02/07/2014;386,40;02/07/2014;1282,00;02/07/2014;1134,00;02/07/2014;474,20;02/07/2014;703,50;02/07/2014;1128,53;02/07/2014;360,90;02/07/2014;113,70;02/07/2014;891,50;02/07/2014;179,60;02/07/2014;314,30;02/07/2014;1958,00;02/07/2014;413,17;02/07/2014;430,61
04/07/2014;6866,10;03/07/2014;607,10;03/07/2014;516,90;03/07/2014;3584,00;03/07/2014;1600,84;03/07/2014;4423,00;03/07/2014;1904,00;03/07/2014;196,55;03/07/2014;3297,50;03/07/2014;2678,00;03/07/2014;1182,39;03/07/2014;76,40;03/07/2014;1865,28;03/07/2014;5033,62;03/07/2014;4601,00;03/07/2014;219,35;03/07/2014;863,96;03/07/2014;2698,00;03/07/2014;1155,83;03/07/2014;368,35;03/07/2014;427,70;03/07/2014;692,11;03/07/2014;1170,71;03/07/2014;1517,91;03/07/2014;950,00;03/07/2014;388,90;03/07/2014;229,00;03/07/2014;1277,00;03/07/2014;3465,39;03/07/2014;1595,00;03/07/2014;903,00;03/07/2014;364,79;03/07/2014;1038,00;03/07/2014;161,71;04/07/2014;243,71;03/07/2014;3098,00;03/07/2014;407,00;03/07/2014;358,40;03/07/2014;2218,00;03/07/2014;314,80;03/07/2014;6620,00;03/07/2014;388,50;03/07/2014;1297,00;03/07/2014;1143,00;03/07/2014;477,30;03/07/2014;703,50;03/07/2014;1118,93;03/07/2014;361,40;03/07/2014;116,40;03/07/2014;896,50;03/07/2014;182,20;03/07/2014;321,00;03/07/2014;1974,00;03/07/2014;415,09;03/07/2014;431,80
07/07/2014;6823,50;04/07/2014;607,30;04/07/2014;519,20;04/07/2014;3603,00;04/07/2014;1597,30;04/07/2014;4417,50;04/07/2014;1903,00;04/07/2014;198,35;04/07/2014;3287,00;04/07/2014;2672,00;04/07/2014;1179,83;04/07/2014;75,68;04/07/2014;1875,54;04/07/2014;5009,18;04/07/2014;4635,00;04/07/2014;218,55;04/07/2014;860,93;04/07/2014;2693,00;04/07/2014;1158,04;04/07/2014;368,41;04/07/2014;429,40;04/07/2014;686,18;04/07/2014;1165,95;04/07/2014;1513,93;04/07/2014;949,50;04/07/2014;388,00;04/07/2014;228,10;04/07/2014;1278,00;04/07/2014;3448,50;04/07/2014;1589,00;04/07/2014;903,00;04/07/2014;364,79;04/07/2014;1035,00;04/07/2014;162,11;07/07/2014;239,47;04/07/2014;3125,00;04/07/2014;405,40;04/07/2014;357,00;04/07/2014;2228,00;04/07/2014;314,70;04/07/2014;6585,00;04/07/2014;386,10;04/07/2014;1303,00;04/07/2014;1147,00;04/07/2014;479,40;04/07/2014;693,50;04/07/2014;1109,33;04/07/2014;361,70;04/07/2014;116,50;04/07/2014;893,00;04/07/2014;183,90;04/07/2014;321,60;04/07/2014;1973,00;04/07/2014;417,29;04/07/2014;431,12
08/07/2014;6738,50;07/07/2014;603,30;07/07/2014;513,70;07/07/2014;3575,00;07/07/2014;1595,28;07/07/2014;4451,00;07/07/2014;1894,50;07/07/2014;196,85;07/07/2014;3262,50;07/07/2014;2658,00;07/07/2014;1177,69;07/07/2014;75,10;07/07/2014;1860,62;07/07/2014;4994,52;07/07/2014;4651,00;07/07/2014;216,05;07/07/2014;859,91;07/07/2014;2682,00;07/07/2014;1150,31;07/07/2014;366,32;07/07/2014;426,40;07/07/2014;682,90;07/07/2014;1149,30;07/07/2014;1502,98;07/07/2014;946,00;07/07/2014;386,50;07/07/2014;227,30;07/07/2014;1270,00;07/07/2014;3432,67;07/07/2014;1591,00;07/07/2014;901,00;07/07/2014;362,73;07/07/2014;1033,00;07/07/2014;161,79;08/07/2014;222,70;07/07/2014;3125,00;07/07/2014;402,90;07/07/2014;355,28;07/07/2014;2213,00;07/07/2014;313,30;07/07/2014;6575,00;07/07/2014;383,00;07/07/2014;1293,00;07/07/2014;1149,00;07/07/2014;479,30;07/07/2014;686,50;07/07/2014;1086,93;07/07/2014;351,00;07/07/2014;114,60;07/07/2014;892,00;07/07/2014;179,30;07/07/2014;317,10;07/07/2014;1968,00;07/07/2014;414,32;07/07/2014;429,76
09/07/2014;6718,00;08/07/2014;594,50;08/07/2014;510,70;08/07/2014;3555,50;08/07/2014;1568,97;08/07/2014;4362,00;08/07/2014;1873,00;08/07/2014;191,05;08/07/2014;3258,50;08/07/2014;2655,00;08/07/2014;1179,40;08/07/2014;73,37;08/07/2014;1842,43;08/07/2014;4930,99;08/07/2014;4530,00;08/07/2014;213,70;08/07/2014;860,42;08/07/2014;2661,00;08/07/2014;1066,00;08/07/2014;358,53;08/07/2014;420,00;08/07/2014;674,34;08/07/2014;1137,87;08/07/2014;1493,52;08/07/2014;932,50;08/07/2014;379,80;08/07/2014;226,40;08/07/2014;1244,00;08/07/2014;3404,17;08/07/2014;1582,00;08/07/2014;882,50;08/07/2014;362,73;08/07/2014;1018,00;08/07/2014;160,82;09/07/2014;225,41;08/07/2014;3045,00;08/07/2014;392,50;08/07/2014;344,83;08/07/2014;2181,00;08/07/2014;311,40;08/07/2014;6495,00;08/07/2014;383,20;08/07/2014;1271,00;08/07/2014;1127,00;08/07/2014;473,80;08/07/2014;679,50;08/07/2014;1070,93;08/07/2014;343,90;08/07/2014;112,60;08/07/2014;892,00;08/07/2014;174,80;08/07/2014;309,00;08/07/2014;1956,00;08/07/2014;408,77;08/07/2014;424,49
10/07/2014;6672,40;09/07/2014;596,50;09/07/2014;508,00;09/07/2014;3547,50;09/07/2014;1574,54;09/07/2014;4361,50;09/07/2014;1860,00;09/07/2014;191,00;09/07/2014;3261,00;09/07/2014;2637,00;09/07/2014;1172,14;09/07/2014;72,90;09/07/2014;1846,63;09/07/2014;4906,55;09/07/2014;4519,00;09/07/2014;211,50;09/07/2014;854,85;09/07/2014;2660,00;09/07/2014;1064,96;09/07/2014;354,03;09/07/2014;416,60;09/07/2014;649,87;09/07/2014;1141,68;09/07/2014;1498,00;09/07/2014;923,50;09/07/2014;380,60;09/07/2014;224,70;09/07/2014;1231,00;09/07/2014;3383,06;09/07/2014;1560,00;09/07/2014;883,50;09/07/2014;358,95;09/07/2014;1023,00;09/07/2014;159,61;10/07/2014;219,91;09/07/2014;3000,00;09/07/2014;390,90;09/07/2014;340,52;09/07/2014;2154,00;09/07/2014;308,50;09/07/2014;6365,00;09/07/2014;377,50;09/07/2014;1250,00;09/07/2014;1109,00;09/07/2014;469,30;09/07/2014;682,00;09/07/2014;1076,27;09/07/2014;343,30;09/07/2014;115,60;09/07/2014;875,50;09/07/2014;173,40;09/07/2014;309,20;09/07/2014;1918,00;09/07/2014;399,78;09/07/2014;423,98
11/07/2014;6690,20;10/07/2014;589,00;10/07/2014;503,70;10/07/2014;3521,00;10/07/2014;1590,22;10/07/2014;4345,00;10/07/2014;1851,50;10/07/2014;188,95;10/07/2014;3214,00;10/07/2014;2598,00;10/07/2014;1161,45;10/07/2014;73,11;10/07/2014;1820,05;10/07/2014;4851,82;10/07/2014;4600,00;10/07/2014;208,00;10/07/2014;857,38;10/07/2014;2659,00;10/07/2014;1048,32;10/07/2014;355,55;10/07/2014;419,10;10/07/2014;635,79;10/07/2014;1139,78;10/07/2014;1482,57;10/07/2014;917,00;10/07/2014;381,50;10/07/2014;224,60;10/07/2014;1220,00;10/07/2014;3353,50;10/07/2014;1547,00;10/07/2014;869,50;10/07/2014;356,55;10/07/2014;1017,00;10/07/2014;157,91;11/07/2014;217,79;10/07/2014;2958,00;10/07/2014;385,30;10/07/2014;339,12;10/07/2014;2117,00;10/07/2014;306,10;10/07/2014;6455,00;10/07/2014;373,00;10/07/2014;1240,00;10/07/2014;1092,00;10/07/2014;462,60;10/07/2014;688,50;10/07/2014;1093,33;10/07/2014;339,00;10/07/2014;116,10;10/07/2014;871,00;10/07/2014;173,80;10/07/2014;314,90;10/07/2014;1915,00;10/07/2014;404,57;10/07/2014;423,13
14/07/2014;6746,10;11/07/2014;592,30;11/07/2014;503,80;11/07/2014;3528,00;11/07/2014;1580,10;11/07/2014;4353,50;11/07/2014;1846,00;11/07/2014;189,45;11/07/2014;3203,50;11/07/2014;2622,00;11/07/2014;1166,15;11/07/2014;72,67;11/07/2014;1828,91;11/07/2014;4887,01;11/07/2014;4870,00;11/07/2014;207,90;11/07/2014;861,43;11/07/2014;2740,00;11/07/2014;1045,20;11/07/2014;352,26;11/07/2014;417,40;11/07/2014;644,74;11/07/2014;1136,45;11/07/2014;1472,12;11/07/2014;918,50;11/07/2014;384,50;11/07/2014;226,20;11/07/2014;1215,00;11/07/2014;3354,56;11/07/2014;1547,00;11/07/2014;880,50;11/07/2014;355,87;11/07/2014;1020,00;11/07/2014;158,88;14/07/2014;217,66;11/07/2014;2949,00;11/07/2014;382,40;11/07/2014;338,26;11/07/2014;2119,00;11/07/2014;304,50;11/07/2014;6500,00;11/07/2014;375,00;11/07/2014;1239,00;11/07/2014;1087,00;11/07/2014;464,20;11/07/2014;691,50;11/07/2014;1088,00;11/07/2014;339,00;11/07/2014;116,30;11/07/2014;876,50;11/07/2014;172,70;11/07/2014;315,10;11/07/2014;1920,00;11/07/2014;408,10;11/07/2014;424,66
15/07/2014;6710,50;14/07/2014;599,40;14/07/2014;503,40;14/07/2014;3595,50;14/07/2014;1574,03;14/07/2014;4369,50;14/07/2014;1867,00;14/07/2014;192,10;14/07/2014;3242,00;14/07/2014;2645,00;14/07/2014;1175,13;14/07/2014;73,15;14/07/2014;1858,76;14/07/2014;4955,42;14/07/2014;4903,00;14/07/2014;209,60;14/07/2014;863,46;14/07/2014;2739,00;14/07/2014;1048,32;14/07/2014;360,30;14/07/2014;418,00;14/07/2014;651,45;14/07/2014;1154,06;14/07/2014;1494,52;14/07/2014;929,50;14/07/2014;386,10;14/07/2014;229,70;14/07/2014;1223,00;14/07/2014;3407,34;14/07/2014;1544,00;14/07/2014;885,00;14/07/2014;360,33;14/07/2014;1018,00;14/07/2014;160,90;15/07/2014;220,64;14/07/2014;2950,00;14/07/2014;385,10;14/07/2014;344,08;14/07/2014;2136,00;14/07/2014;306,50;14/07/2014;6510,00;14/07/2014;377,70;14/07/2014;1246,00;14/07/2014;1109,00;14/07/2014;468,00;14/07/2014;696,50;14/07/2014;1088,00;14/07/2014;339,80;14/07/2014;116,70;14/07/2014;876,50;14/07/2014;176,20;14/07/2014;320,00;14/07/2014;1909,00;14/07/2014;416,43;14/07/2014;430,61
